Received applications,  RS Additions,  RS Alterations + Int Alt,  RS Demolitions,  RS Move,  RS New,  RS Fire Repair,  RS Other,  RS subtotal,  CO Addition,  CO Alteration,  CO Demolition,  CO Move,  CO New,  CO Fire Repair,  CO Other,  CO subtotal,  MG Addition,  MG Alteration,  MG Demolition,  MG Move,  MG New,  MG Fire Repair,  MG Other,  MG subtotal,  Site Development-CO,  Site Development-RS,  Zoning Permits-CO,  Zoning Permits-RS,  Manufactured Dw,  Facility Permits-BLD,  Total Other Apps,  Total Applications,,,,,,
Month of applications,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,16-Aug,,,,,,
No.,89,352,83,,120,1,,645,22,132,13,,20,1,,188,,,,,,,, - ,1,2,3,16,3, - ,25,858,,,,,,
Valuation ,"$4,550,153 ","6,557,976","307,600",,"22,213,863",500,,"$33,630,092 ","$4,607,707 ","8,508,730","216,600",,"94,555,165","6,600",,"$107,894,802 ",,,,,,,, - ,"$22,000 ","129,811","80,000","113,712","22,500", - ,"$368,023 ","$141,892,916 ",,,,,,
Month of applications,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,16-Sep,,,,,,
No.,57,314,45,,102,2,,520,20,124,12,,34,,,190,,,,,,,, - ,1,4,1,16,, - ,22,732,,,,,,
Valuation ,"$3,793,302 ","6,405,865","169,000",,"17,999,488","29,150",,"$28,396,805 ","$5,175,697 ","12,251,380","811,784",,"134,999,447",,,"$153,238,308 ",,,,,,,, - ,"$2,000 ","280,250","50,000","51,710",, - ,"$383,960 ","$182,019,073 ",,,,,,
Month of applications,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,16-Oct,,,,,,
No.,58,322,76,1,112,2,,571,19,127,13,,25,,,184,,,,,1,,,1,1,8,2,7,2, - ,20,776,,,,,,
Valuation ,"$3,646,570 ","4,928,036","288,200","10,000","18,456,373","26,250",,"$27,355,429 ","$960,925 ","12,023,738","2,446,842",,"40,636,835",,,"$56,068,340 ",,,,,"5,000",,,"5,000","$50,000 ","1,268,214","14,744","34,180","53,816", - ,"$1,420,954 ","$84,849,723 ",,,,,,
Month of applications,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,16-Nov,,,,,,
No.,35,270,40,,88,1,,434,19,138,17,,36,1,,211,1,,,,1,,,2,3,3,5,13,, - ,24,671,,,,,,
Valuation ,"$2,284,496 ","5,054,410","162,500",,"14,383,827","8,500",,"$21,893,733 ","$29,182,613 ","7,760,741","319,830",,"99,439,188","5,000",,"$136,707,372 ","$84,678,070 ",,,,"80,467,506",,,"165,145,576","$180,000 ","210,000","33,900","73,060",, - ,"$496,960 ","$324,243,641 ",,,,,,
Month of applications,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,,,,,,
No.,56,276,33,,100,,,465,10,150,9,,40,,,209,,,,,,,, - ,1,3,7,13,, - ,24,698,,,,,,
Valuation ,"$4,052,334 ","5,475,279","96,270",,"19,526,201",,,"$29,150,084 ","$3,884,000 ","20,286,056","432,000",,"147,104,121",,,"$171,706,177 ",,,,,,,, - ,"$580,000 ","101,200","128,000","52,000",, - ,"$861,200 ","$201,717,461 ",,,,,,
Month of applications,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,17-Jan,,,,,,
No. ,50,286,34,,92,,,462,12,112,4,,45,,,173,,,,,,,, - ,1,3,1,6,,75,86,721,,,,,,
Valuation  ,"$3,082,861 ","6,084,729","162,800",,"17,178,274",,,"$26,508,664 ","$5,411,156 ","14,071,803","122,080",,"83,681,308",,,"$103,286,347 ",,,,,,,,$0 ,"$3,014,000 ","189,000","4,400","78,023",,"7,384,687","$10,670,110 ","$140,465,121 ",,,,,,
Month of applications,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,17-Feb,,,,,,
No. ,73,295,49,1,92,3,,513,17,127,26,,28,,,198,,,,,,,, - ,1,4,,9,,69,83,794,,,,,,
Valuation  ,"$4,903,505 ","5,484,013","163,650","7,500","17,062,864","58,856",,"$27,680,388 ","$1,918,129 ","24,684,756","316,100",,"43,826,811",,,"$70,745,796 ",,,,,,,,$0 ,"$50,000 ","555,917",,"20,950",,"13,777,438","$14,404,305 ","$112,830,489 ",,,,,,
Month of applications,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,,,,,,
No. ,74,382,71,,158,,,685,15,168,14,,37,,,234,,,,,,,, - ,,4,3,16,1,94,118,"1,037",,,,,,
Valuation  ,"$4,559,639 ","8,411,662","399,200",,"32,334,065",,,"$45,704,566 ","$109,493,367 ","13,401,826","799,003",,"81,452,270",,,"$205,146,466 ",,,,,,,,$0 ,,"1,092,500","127,200","45,710","8,000","24,513,891","$25,787,301 ","$276,638,333 ",,,,,,
Month of applications,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,17-Apr,,,,,,
No. ,68,310,55,,94,1,,528,21,126,11,,24,1,,183,,,,,,,, - ,5,2,2,14,1,78,102,813,,,,,,
Valuation  ,"$3,188,852 ","8,725,071","216,779",,"16,078,824","112,000",,"$28,321,526 ","$4,423,561 ","8,253,477","1,128,000",,"204,444,669","99,624",,"$218,349,331 ",,,,,,,,$0 ,"$1,894,870 ","29,500","49,550","50,625","8,500","20,530,300","$22,563,345 ","$269,234,202 ",,,,,,
Month of applications,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,17-May,,,,,,
No. ,75,398,67,,158,,,698,16,174,12,,24,,,226,,,,,,,, - ,2,7,4,9,2,78,102,"1,026",,,,,,
Valuation  ,"$5,135,401 ","10,441,798","481,662",,"29,895,767",,,"$45,954,628 ","$951,948 ","29,056,773","662,500",,"119,754,235",,,"$150,425,456 ",,,,,,,,$0 ,"$284,000 ","1,056,000","373,500","35,600","103,344","11,499,114","$13,351,558 ","$209,731,642 ",,,,,,
Month of applications,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,,,,,,
No. ,104,361,59,1,163,1,,689,13,154,14,,39,,,220,,,,,,,, - ,1,5,5,11,2,88,112,"1,021",,,,,,
Valuation  ,"$6,301,704 ","8,164,112","192,800","22,770","29,325,998","100,000",,"$44,107,384 ","$8,953,551 ","23,723,915","578,997",,"295,553,658",,,"$328,810,121 ",,,,,,,,$0 ,"$7,500 ","173,200","42,200","27,500","13,500","31,854,985","$32,118,885 ","$405,036,390 ",,,,,,
